Name,CR,XP,Race,Class1,Class1_Lvl,Class2,Class2_Lvl,Alignment,Size,Type,subtype1,subtype2,subtype3,subtype4,subtype5,subtype6,AC,AC_Touch,AC_Flat-footed,HP,HD,Fort,Ref,Will,Melee,Ranged,Space,Reach,Str,Dex,Con,Int,Wis,Cha,Feats,Skills,RacialMods,Languages,SQ,Environment,Organization,Treasure,Group,Gear,OtherGear,CharacterFlag,CompanionFlag,Speed,Base_Speed,Fly_Speed,Maneuverability,Climb_Speed,Swim_Speed,Burrow_Speed,Speed_Special,Speed_Land,Fly,Climb,Burrow,Swim,VariantParent,ClassArchetypes,CompanionFamiliarLink,AlternateNameForm,id,UniqueMonster,MR,Mythic,MT,Source,,
Ahlinni,4,"1,2",,,,,,CN,Medium,magical beast,,,,,,,17,11,16,30,4d10+8,6,5,1,bite +7 (1d8+2),,5,5,15,13,14,6,10,10,"Skill Focus (Perception), Weapon Focus (bite)","Acrobatics +5, Climb +14, Perception +7, Stealth +5 (+15 in trees)",+10 Stealth when in trees large enough to conceal it,birdsong,,temperate or cold forests and marshes,"solitary, pair, or flock (4-7)",no coins, standard goods (gems only), no items,,,,0,0,"40 ft., climb 20 ft.",40,,,20,,,,1,0,1,0,0,,,NULL,,1846,0,0,0,0,Tome of Horrors Complete
Ahuizotl,6,"2,4",,,,,,NE,Large,magical beast,aquatic,,,,,,19,12,16,68,8d10+24,9,9,4,"bite +12 (2d6+5), claw +12 (1d8+5/19-20 plus grab)",,10,5 (10 with tail),20,17,17,9,14,16,"Blinding CriticalB, Combat Reflexes, Improved Critical (claw)B, Improved Initiative, Skill Focus (Stealth), Stand Still","Bluff +9, Stealth +9, Swim +20",+6 Bluff,Common,"amphibious, tenacious grapple, voice mimicry","warm lakes, rivers, or swamps",solitary,standard,,,,0,0,"30 ft., swim 50 ft.",30,,,,50,,,1,0,0,0,1,,,NULL,,1961,0,0,0,0,PFRPG Bestiary 3,,
Air Elemental Construct,13,"25,6",,,,,,N,Huge,construct,air,elemental,extraplanar,,,,30,19,19,205,30d10+40,10,21,10,2 slams +36 (2d6+8),,15,15,27,33,0,0,11,1,,Fly +15,,,,Plane of Air,solitary,none,Elemental Construct,,,0,0,fly 100 ft. (perfect),,100,,,,,,0,1,0,0,0,,,NULL,,2574,0,0,0,0,Tome of Horrors Complete,,
Akata,1,400,,,,,,N,Medium,aberration,,,,,,,13,12,11,15,2d8+6,3,2,4,"bite +2 (1d6+1 plus void bite), 2 tentacles -3 (1d3)",,5,5,12,15,16,3,12,11,Improved Initiative,"Acrobatics +6 (+10 jump), Climb +9, Stealth +10",+4 Stealth,,hibernation,any,"solitary, pair, or pack (3-30)",standard,,,,0,0,"40 ft., climb 20 ft.",40,,,20,,,,1,0,1,0,0,,,NULL,,1092,0,0,0,0,PFRPG Bestiary 2,,
Akhana,12,"19,2",,,,,,N,Medium,outsider,aeon,extraplanar,,,,,27,18,21,148,11d10+88,17,11,14,4 claws +16 (1d4+5 plus grab),,5,5,21,23,26,16,21,18,"Combat Reflexes, Great Fortitude, Hover, Improved Initiative, Iron Will, Lightning Reflexes","Bluff +18, Fly +2, Heal +19, Intimidate +18, Knowledge (planes) +22, Knowledge (religion) +22, Perception +19, Sense Motive +19, Spellcraft +17, Stealth +20",,envisaging,"extension of all, void form",any (Outer Planes),"solitary, pair, or collective (3-6)",none,Aeon,,,0,0,"30 ft., fly 40 ft. (poor)",30,40,poor,,,,,1,1,0,0,0,,,NULL,,1081,0,0,0,0,PFRPG Bestiary 2,,
Akhlut,13,"25,6",,,,,,N,Huge,magical beast,cold,shapechanger,,,,,29,11,26,189,18d10+90,16,13,10,bite +27 (4d8+15/15-20 plus 4d6 cold and grab),,15,10,31,15,20,4,15,6,"Dodge, Improved Critical (bite), Improved Initiative, Improved Vital Strike, Iron Will, Power Attack, Skill Focus (Stealth), Vital Strike, Weapon Focus (bite)","Acrobatics +8 (+12 when jumping), Perception +14, Stealth +16 (+28 in snow), Swim +18","+4 Perception, +12 Stealth in snow",,"change shape (orca; beast shape III), hold breath, snow walking Languages Aquan (cannot speak)","cold lakes, plains, or oceans",solitary,none,,,,0,0,"40 ft., swim 60 ft.",40,,,,60,,,1,0,0,0,1,,,NULL,,1962,0,0,0,0,PFRPG Bestiary 3,,
Akvan,20,"307,2",,,,,,NE,Gargantuan,outsider,div,evil,extraplanar,,,,38,10,34,372,24d10+240,18,22,21,"bite +32 (2d8+12 plus grab/19-20), 2 claws +32 (2d6+12), tail slap +30 (2d10+6)",,20,20 (25 with tail),35,26,30,19,24,27,"Awesome Blow, Cleave, Combat Reflexes, Critical Focus, Great Cleave, Improved Bull Rush, Improved Initiative, Improved Critical (bite), Multiattack, Power Attack, Staggering Critical, Stunning Critical","Acrobatics +28 (+36 when jumping), Bluff +43, Diplomacy +31, Fly +27, Intimidate +31, Knowledge (arcana) +31, Knowledge (planes) +31, Knowledge (religion) +19, Perception +34, Sense Motive +30, Spellcraft +22, Use Magic Device +23","+8 Acrobatics when jumping, +8 Bluff","Abyssal, Celestial, Common, Draconic, Infernal; telepathy 100 ft.",armor training 4,any (Abaddon),solitary,"standard (+5 half-plate, other treasure)",Div,,,0,0,"50 ft., fly 120 ft. (good)",50,,good,,,,,1,1,0,0,0,,,NULL,,2029,0,0,0,0,PFRPG Bestiary 3,,
Alastor,25,820,,,,,,LE,Large,outsider,devil,evil,extraplanar,lawful,,,48,25,40,660,40d10+440,26,32,34,"+3 unholy vorpal battleaxe +59/+54/+49/+44 (2d6+19/19-20/x3) or 2 claws +55 (2d6+16), bite +55 (4d6+16 plus poison and disease), 2 wings +53 (2d6+16), tail slap +53 (2d8+24 plus grab)",,10,10,43,27,33,28,30,26,"Alertness, Awesome Blow, Bleeding Critical, Cleave, Critical Focus, Diehard, Endurance, Great Cleave, Great Fortitude, Improved Bull Rush, Improved Critical (battleaxe), Improved Initiative, Iron Will, Lightning Reflexes, Multiattack, Persuasive, Power Attack, Quicken Spell-Like Ability (power word stun), Quicken Spell-Like Ability (fireball), Weapon Focus (battleaxe)","Acrobatics +51, Bluff +51, Diplomacy +55, Disguise +51, Fly +49, Intimidate +55, Knowledge (arcana) +49, Knowledge (local) +49, Knowledge (planes) +52, Knowledge (religion) +49, Perception +57, Sense Motive +57, Spellcraft +49, Stealth +47, Survival +50",,"Abyssal, Common, Celestial, Draconic, Giant, Ignan, Infernal, Terran; telepathy 100 ft.",,any (Hell),solitary or retinue (Alastor plus 1d2 pit fiends),double standard,Devil,Grimfang,,0,0,"40 ft., fly 60 ft. (average)",40,,average,,,,,1,1,0,0,0,,,NULL,,2479,0,0,0,0,Tome of Horrors Complete,,
Albino Cave Solifugid,4,"1,2",,,,,,N,Medium,vermin,,,,,,,17,11,16,45,6d8+18,8,3,2,"bite +7 (1d8+3), 2 claws +7 (1d4+3)",,5,5,16,13,17,0,11,2,,"Climb +11, Perception +4, Stealth +5","+4 Perception, +4 Stealth",,,any underground,"solitary, pair, or colony (3-6)",none,Solifugid,,,0,0,"50 ft., climb 30 ft.",50,,,30,,,,1,0,1,0,0,,,NULL,,1358,0,0,0,0,PFRPG Bestiary 2,,
Albino Cave Spider,0.50,200,,,,,,N,Tiny,vermin,,,,,,,17,16,13,4,1d8,2,4,0,bite +6 (1d3-3 plus poison),,2.50,2.50,4,18,10,0,10,3,Weapon Finesse B,"Acrobatics +4 (+12 jump), Climb +12, Stealth +16","+8 to Acrobatics when jumping, +4 Perception, +4 Stealth; use Dex to modify Climb",,,underground,solitary or nest (2-20),standard,Spider,,,0,0,"20 ft., climb 10 ft.",20,,,,,,,1,0,1,0,0,NULL,,NULL,,5067,0,0,0,0,Tome of Horrors 4,,
Alchemical Golem,9,"6,4",,,,,,N,Large,construct,,,,,,,23,13,19,96,12d10+30,4,8,4,2 slams +19 (2d8+8 plus alchemy),bomb +15 (8d6 energy damage),10,10,27,18,0,0,11,1,,,,,,any,solitary or gang (2-4),none,Golem,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,NULL,,NULL,,1234,0,0,0,0,PFRPG Bestiary 2,,
Algant,7,"3,2",,,,,,NG,Huge,plant,aquatic,,,,,,20,10,18,95,10d8+50,12,5,7,slam +12 (2d6+10/19-20 plus grab),,15,10,25,14,21,12,15,12,"Alertness, Endurance, Improved Critical (slam)B, Iron Will, Power Attack, Swim-By Attack","Diplomacy +7, Intimidate +7, Knowledge (nature) +7, Perception +11, Sense Motive +8, Stealth +1 (+17 in native environs), Swim +15",+16 Stealth in native environment,"Algant, Aquan, Common","amphibious, animate plants, double damage against objects, plantspeech",any freshwater,solitary or patch (2-7),standard,Plant Guardian,,,0,0,"10 ft., swim 30 ft.",10,,,,,,,1,0,0,0,1,,,NULL,,5031,0,0,0,0,Tome of Horrors 4,,
Algidarch,5,"1,6",,,,,,CE,Large,humanoid,cold,giant,,,,,16,9,16,66,7d8+28 plus 7,9,2,4,greatsword +10 (3d6+9) or 2 slams +10 (1d6+6 plus 1d6 cold),,10,10,22,10,18,10,11,12,"Intimidating Prowess, Iron Will, Power Attack, Toughness","Climb +6, Intimidate +7, Perception +7, Stealth +1 (+5 in snow), Survival +5",+4 Stealth in snow,Giant,,cold hills and moutains,"solitary, pair, gang (3-4), hunting band (3-4 plus 5-8 frost men, 1-2 winter wolves), or tribe (5-16 plus 50% noncombatants, 4-8 frost men, 4-6 winter wolves, plus 1 adept, cleric, or sorcerer of 3rd-5th level; 1 barbarian of 4th-6th level)","standard (greatsword, other treasure)",,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,NULL,,NULL,,4700,0,0,0,0,Tome of Horrors 4,,
Algoid,4,"1,2",,,,,,N,Medium,plant,,,,,,,15,10,15,42,5d8+20,7,1,3,slam +7 melee (1d8+4),,5,5,19,10,16,4,10,10,"Iron Will, Skill Focus (Perception), Toughness","Stealth +10 (+18 in a swampy or forested area), Perception +10","+4 Perception, +4 Stealth (+12 in a swampy or forested area)",Common (does not speak),,temperate marshes,"solitary, pair, or cluster (3-6)",50% standard,,,,0,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,972,0,0,0,0,TOH1,,
Algoid,4,"1,2",,,,,,N,Medium,plant,fungus,psionic,,,,,16,10,16,37,5d8+15,7,1,3,2 slams +8 (1d6+4),,5,5,19,10,16,4,10,10,"Iron Will, Skill Focus (Perception), Weapon Focus (slam)","Perception +12, Stealth +10 (+18 in swamps and forests)","+4 Perception, +4 Stealth (+12 Stealth in swamps and forests)",Common (can't speak),,temperate marshes,"solitary, pair or cluster (3-6)",standard,,,,0,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,1847,0,0,0,0,Tome of Horrors Complete,,
Allip,3,800,,,,,,CE,Medium,undead,incorporeal,,,,,,14,14,13,30,4d8+12,4,4,4,incorporeal touch +4 (1d4 Wisdom damage),,5,5,0,12,0,11,11,16,"Improved Initiative, Lightning Reflexes","Fly +16, Intimidate +10, Perception +7, Stealth +8",,"Aklo, Common",madness,any,"solitary, pair, or haunt (3-6)",incidental,,,,0,0,fly 30 ft. (perfect),,30,perfect,,,,,0,1,0,0,0,,,NULL,,1963,0,0,0,0,PFRPG Bestiary 3,,
Allosaurus,7,"3,2",,,,,,N,Huge,animal,,,,,,,19,9,18,93,11d8+44,11,8,7,"bite +14 (2d6+8/19-20 plus grab), 2 claws +4 (1d8+8)",,15,15,26,13,19,2,15,10,"Alertness, Improved Critical (bite), Improved Initiative, Iron Will, Nimble Moves, Run",Perception +30,+8 Perception,,,temperate or warm forests or plains,"solitary, pair, or pack (3-6)",None,Dinosaur,,,0,0,50 ft.,50,,,,,,,1,0,0,0,0,,,NULL,,1166,0,0,0,0,PFRPG Bestiary 2,,
Almiraj,1,400,,,,,,N,Small,magical beast,,,,,,,13,13,11,13,2d10+2,4,5,0,+1 gore +6 (2d4-1),,5,5,6,15,12,5,11,6,Weapon Finesse,"Acrobatics +6 (+14 when jumping), Perception +4, Stealth +14","+8 Acrobatics when jumping, +4 Perception, +4 Stealth",Sylvan (can't speak),hex-prone,"temperate hills, plains, or forests",solitary,incidental (magic horn),,,,0,0,"30 ft., burrow 10 ft.",30,,,,,,,1,0,0,1,0,NULL,,NULL,,5135,0,0,0,0,PFRPG Bestiary 4,,
Al-mi'raj,0.50,200,,,,,,N,Small,magical beast,,,,,,,14,14,11,6,1d10+1,3,5,1,gore +5 (1d4-2),,5,5,6,17,12,5,12,6,Weapon Finesse,"Perception +5, Stealth +11, Survival +1 (+5 when tracking by scent)","+4 Perception, +4 Survival when tracking by scent",,dimension door,temperate plains,solitary or warren (2-20),none,,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,1848,0,0,0,0,Tome of Horrors Complete,,
Al-Mi'raj,1,400,,,,,,N,Small,magical beast,,,,,,,14,14,11,6,1d10+1,3,5,1,gore +5 (1d4-2),,5,5,6,17,12,5,12,6,"Nimble MovesB, Weapon Finesse","Stealth +8, Perception +6, Survival +2",+4 Perception,,,temperate plains,"solitary, warren (2-20)",none,,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,973,0,0,0,0,TOH1,,
Alpluachra,0.50,200,,,,,,CN,Diminutive,fey,aquatic,,,,,,15,15,14,5,1d6+2,2,3,2,bite +1 (1d2-3),,5,5,4,13,14,4,11,11,Skill Focus (Stealth),"Escape Artist +5, Perception +4, Stealth +20, Swim +5",,Aklo,amphibious,temperate forests or fresh water,solitary,none,,,,0,0,"10 ft., swim 10 ft.",10,,,,,,,1,0,0,0,1,NULL,,NULL,,5136,0,0,0,0,PFRPG Bestiary 4,,
Alraune,13,"25,6",,,,,,NE,Large,plant,,,,,,,27,10,26,199,19d8+114,17,9,11,4 vines +20 (1d10+7 plus grab and bleed),,10,10,24,13,22,10,17,21,"Alertness, Cleave, Deceitful, Great Cleave, Improved Initiative, Iron Will, Lightning Reflexes, Power Attack, Quicken Spell-Like Ability (glitterdust), Vital Strike","Bluff +16, Disguise +9, Knowledge (nature) +9, Perception +17, Sense Motive +14",,"Aklo, Common, Elven, Sylvan",,temperate forests,solitary,standard,,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,1964,0,0,0,0,PFRPG Bestiary 3,,
Alu-Demon,3,800,,,,,,CE,Medium,outsider,chaotic,demon,evil,extraplanar,,,18,12,16,45,6d10+12,6,6,4,longsword +9/+4 (1d8+3/19-20) or 2 claws +9 (1d6+3 plus vampiric touch),,5,5,17,15,15,15,15,16,"Blind-Fight, Cleave, Power Attack","Bluff +11, Diplomacy +12, Escape Artist +11, Fly +6, Intimidate +12, Knowledge (planes) +11, Perception +15, Stealth +11, Survival +11",+4 Perception,"Abyssal, Common; telepathy 100 ft.",,any (Abyss),solitary,standard,Demon,longsword,,0,0,"30 ft., fly 50 ft. (average)",30,,average,,,,,1,1,0,0,0,,,NULL,,2431,0,0,0,0,Tome of Horrors Complete,,
Aluum,10,"9,6",,,,,,N,Large,construct,,,,,,,25,10,24,107,14d10+30,4,5,4,2 slams +21 (2d10+8 plus paralysis),,10,10,27,12,0,0,11,1,,,,,,any,solitary or squad (3-4),none,,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,1508,0,0,0,0,Inner Sea World Guide,,
Amaimon Devil,8,"4,8",,,,,,LE,Large,outsider,devil,evil,extraplanar,lawful,,,23,13,19,94,9d10+45,8,10,8,"2 claws +16 (1d8+7), bite +15 (2d6+7)",,10,10,24,18,21,14,14,12,"Alertness, Deceitful, Improved Initiative, Power Attack, Weapon Focus (claw)","Acrobatics +13, Bluff +15, Diplomacy +13, Disguise +3, Intimidate +13, Knowledge (planes) +14, Perception +16, Sense Motive +16, Survival +14",,"Common, Draconic, Infernal; telepathy 100 ft.",,any (Hell),"solitary, pair, or gang (2-4)",standard,Devil,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,2470,0,0,0,0,Tome of Horrors Complete,,
Amalgamation,20,"307,2",,,,,,N,Gargantuan,construct,,,,,,,25,25,16,225,30d10+60,10,19,15,varies +33 (damage by weapon),varies +35 (damage by weapon),20,15,24,28,0,0,20,1,,,,,item use,underground,solitary,standard (varies with individual Amalgamation),,,,0,0,"10 ft., fly 50 ft. (perfect)",10,,perfect,,,,,1,1,0,0,0,NULL,,NULL,,4701,0,0,0,0,Tome of Horrors 4,,
Amber Ooze,1,400,,,,,,N,Diminutive,ooze,,,,,,,14,14,14,6,1d8+2,2,0,-5,,,1,0,4,10,14,0,1,1,,,,,,any temperate or warm land,solitary,none,Ooze,,,0,0,10 ft.,10,,,,,,,1,0,0,0,0,,,NULL,,2910,0,0,0,0,Tome of Horrors Complete,,
Amber Skeleton,6,"2,4",,,,,,N,Medium,construct,,,,,,,21,9,21,69,9d10+20,3,2,3,spear +14/+9 (1d8+7 plus 2d6 fire) or 2 slams +14 (1d8+5 plus 2d6 fire),,5,5,21,9,0,0,11,1,,,,,,any,solitary or gang (2-5),none,,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,4712,0,0,0,0,Tome of Horrors 4,,
Amoeba Swarm,1,400,,,,,,N,Fine,ooze,swarm,,,,,,13,13,13,9,2d8,0,-5,-5,swarm (1d6 acid plus distraction),,10,0,1,1,10,0,1,1,,"Climb +3, Swim +3",,,amphibious,any land or underground,solitary or colony (2-5),none,Amoeba,,,0,0,"10 ft., climb 10 ft., swim 20 ft.",10,,,10,20,,,1,0,1,0,1,,,NULL,,1094,0,0,0,0,PFRPG Bestiary 2,,
"Amoeba, Giant",1,400,,,,,,N,Small,ooze,aquatic,,,,,,6,6,6,15,2d8+6,3,-5,-5,slam +3 (1d3+1 plus 1d3 acid and grab),,5,5,12,1,16,0,1,1,,"Climb +9, Swim +9",,,amphibious,any land or underground,solitary or colony (2-9),none,,,,0,0,"10 ft., climb 10 ft., swim 20 ft.",10,,,10,20,,,1,0,1,0,1,,,NULL,,1093,0,0,0,0,PFRPG Bestiary 2,,
Amon,25,"1,640,000",,,,,,LE,Large,outsider,devil,evil,extraplanar,lawful,,,44,24,36,434,28d10+280,21,24,25,"Huge +4 axiomatic thundering heavy mace +45/+40/+35/+30 (3d6+30/19-20), bite +35 (2d6+6)",,10,10,36,27,31,26,25,25,"Alertness, Blind-Fight, Cleave, Critical Focus, Great Cleave, Great Fortitude, Improved Critical (heavy mace), Improved Initiative, Improved Vital Strike, Iron Will, Power Attack, Quicken Spell-Like Ability (fireball), Vital Strike, Weapon Focus (heavy mace)","Acrobatics +39, Bluff +38, Climb +41, Diplomacy +38, Escape Artist +36, Intimidate +38, Knowledge (arcana) +36, Knowledge (local) +39, Knowledge (planes) +39, Knowledge (religion) +36, Perception +42, Sense Motive +42, Stealth +35, Survival +35",,"Abyssal, Celestial, Common, Draconic, Goblin, Ignan, Infernal; telepathy 100 ft.",control wolves,any (Hell),"solitary or troupe (Amon plus one 18-HD winter wolf, 4-8 bone devils, and 3-7 dire wolves or 5-12 wolves)",double standard,Devil,Craver,,0,0,60 ft.,60,,,,,,,1,0,0,0,0,,,NULL,,2478,0,0,0,0,Tome of Horrors Complete,,
Amphisbaena,4,"1,2",,,,,,N,Large,magical beast,,,,,,,19,11,17,45,6d10+12,6,7,3,2 bites +8 (1d8+2 plus poison),,10,5,14,15,13,2,13,4,"Skill Focus (Stealth), Toughness, Weapon Focus (bite)","Acrobatics +10 (+6 jump), Climb +10, Perception +11, Stealth +11, Swim +10","+8 Acrobatics, +4 Perception, +4 Stealth",,,temperate hills or underground,solitary or pack (2-5),incidental,,,,0,0,"20 ft., climb 20 ft., swim 20 ft.",20,,,20,20,,,1,0,1,0,1,,,NULL,,1095,0,0,0,0,PFRPG Bestiary 2,,
Amphisbaena,4,"1,2",,,,,,N,Large,magical beast,,,,,,,17,11,15,42,5d10+10 plus 5,6,6,2,2 bites +8 (1d8+3 plus poison),,10,5,17,15,14,2,12,2,"Lunge, Toughness, Weapon Focus (bite)","Acrobatics +2 (-2 jump, +6 when balancing), Climb +11, Perception +9, Stealth +9, Swim +11","+4 Acrobatics when balancing, +4 Perception, +4 Stealth",,,underground,solitary or pack (2-4),none,,,,0,0,"20 ft., climb 20ft., swim 20 ft.",20,,,20,20,,,1,0,1,0,1,,,NULL,,1849,0,0,0,0,Tome of Horrors Complete,,
Ancient Black Dragon,16,"76,8",,,,,,CE,Huge,dragon,water,,,,,,38,8,38,297,22d12+154,20,13,18,"bite +32 (2d8+16 plus 4d6 acid), 2 claws +31 (2d6+11), 2 wings +29 (1d8+5), tail +29 (2d6+16)",,15,10 (15 with bite),33,10,25,18,21,18,"Alertness, Combat Expertise, Flyby Attack, Greater Vital Strike, Improved Initiative, Improved Vital Strike, Multiattack, Power Attack, Skill Focus (Stealth), Vital Strike, Weapon Focus (bite)","Fly +17, Handle Animal +26, Intimidate +29, Knowledge (arcana) +29, Knowledge (history) +29, Knowledge (geography) +29, Perception +34, Spellcraft +29, Stealth +23, Swim +44",,"Common, Draconic, Giant, Goblin, Orc","speak with reptiles, swamp stride, water breathing",warm marshes,solitary,triple,Chromatic Dragon,,,0,0,"60 ft., fly 200 ft. (poor), swim 60 ft.",60,200,poor,,60,,,1,1,0,0,1,,,NULL,,113,0,0,0,0,PFRPG Bestiary,,
Ancient Blue Dragon,18,"153,6",,,,,,LE,Gargantuan,dragon,earth,,,,,,37,5,37,324,24d12+168,21,13,19,"bite +33 (4d6+18/19-20), 2 claws +32 (2d8+12), 2 wings +30 (2d6+6), tail slap +30 (2d8+18)",,20,15 (20 with bite),35,8,25,20,21,20,"Combat Casting, Dazzling Display, Deadly Stroke, Extend Spell, Hover, Improved Critical (bite), Improved Initiative, Multiattack, Quicken Spell, Silent Spell, Shatter Defenses, Weapon Focus (bite)","Bluff +32, Fly +10, Intimidate +32, Knowledge (arcana) +32, Knowledge (history) +32, Knowledge (local) +32, Knowledge (geography) +32, Perception +32, Spellcraft +32, Stealth +14, Survival +32",,"Auran, Common, Draconic, Giant, Ignan, Infernal",sound imitation,warm deserts,solitary,triple,Chromatic Dragon,,,0,0,"40 ft., burrow 20 ft., fly 250 ft. (clumsy)",40,250,clumsy,,,20,,1,1,0,1,0,,,NULL,,116,0,0,0,0,PFRPG Bestiary,,
Ancient Brass Dragon,16,"76,8",,,,,,CG,Huge,dragon,fire,,,,,,38,8,38,297,22d12+154,20,13,18,"bite +31 (2d8+16), 2 claws +31 (2d6+11), 2 wings +29 (1d8+5), tail slap +29 (2d6+16)",,5,5,33,10,25,20,21,20,"Alertness, Flyby Attack, Greater Spell Focus (enchant), Hover, Improved Initiative, Improved Vital Strike, Multiattack, Power Attack, Quicken Spell, Spell Focus (enchant), Vital Strike","Bluff +30, Diplomacy +30, Fly +17, Heal +30, Knowledge (local, history) +30, Linguistics +30, Perception +34, Sense Motive +34, Spellcraft +30, Survival +30",,"Common, Draconic, plus any 22 others",move sand,warm deserts,solitary,triple,Metallic Dragon,,,0,0,"60 ft., burrow 30 ft., fly 200 ft. (poor)",60,200,poor,,,30,,1,1,0,1,0,,,NULL,,130,0,0,0,0,PFRPG Bestiary,,
Ancient Brine Dragon,16,"76,8",,,,,,LN,Huge,dragon,extraplanar,water,,,,,37,7,37,275,22d12+132,19,14,18,"bite +34 (2d8+21 plus 1d2 Str), 2 claws +34 (2d6+14), tail slap +29 (2d6+21), 2 wings +29 (1d8+7)",,15,10 (15 with bite),38,9,23,23,20,21,"Awesome Blow, Greater Vital Strike, Hover, Improved Bull Rush, Improved Initiative, Improved Vital Strike, Lightning Reflexes, Power Attack, Skill Focus (Swim), Vital Strike, Wingover","Bluff +30, Diplomacy +30, Fly +16, Heal +30, Knowledge (arcana) +31, Knowledge (geography) +31, Knowledge (nature) +31, Perception +30, Sense Motive +30, Survival +30, Swim +53, Use Magic Device +30",,"Aquan, Common, Draconic, Dwarven, Elven, Gnome, Halfling",water breathing,any aquatic (Plane of Water),solitary,triple,Primal Dragon,,,0,0,"60 ft., fly 200 ft. (poor), swim 60 ft.",60,200,,,,,,1,1,0,0,1,,,NULL,,1172,0,0,0,0,PFRPG Bestiary 2,,
Ancient Bronze Dragon,18,"153,6",,,,,,LG,Gargantuan,dragon,water,,,,,,37,5,37,324,24d12+168,21,13,21,"bite +32 (4d6+18/19-20), 2 claws +32 (2d8+12/19-20), 2 wings +30 (2d6+6), tail slap +30 (2d8+18)",,20,15 (20 with bite),35,8,25,24,25,24,"Alertness, Cleave, Flyby Attack, Great Cleave, Hover, Improved Critical (bite, claw), Improved Initiative, Improved Vital Strike, Multiattack, Power Attack, Vital Strike","Diplomacy +34, Fly +10, Handle Animals +31, Heal +34, Intimidate +34, Knowledge (arcana, geography, history) +34, Perception +38, Sense Motive +38, Spellcraft +34, Stealth +14, Swim +47",,"Aquan, Common, Draconic, Elven, Gnome, 3 more","change shape, water breathing, wave mastery",temperate coastlines,solitary,triple,Metallic Dragon,,,0,0,"40 ft., fly 250 ft. (clum.), sw. 60 ft.",40,250,clumsy,,60,,,1,1,0,0,0,,,NULL,,133,0,0,0,0,PFRPG Bestiary,,
